Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
HKP16	Hepatitis C virus	-N/A-	KJ470621	9475	-N/A-	Unknown	-N/A-	China	genomic RNA	
HKP7	Hepatitis C virus	-N/A-	KJ470620	9471	-N/A-	Unknown	-N/A-	China	genomic RNA	
I	Hepatitis C virus	3a	KM587622	9505	05/25/2012	Human	Homo sapiens	Australia	genomic RNA	
ILBS	Hepatitis C virus	5a	KF373567	9301	03/23/2012	Human	Homo sapiens	India	genomic RNA	
IND-HCV-3i	Hepatitis C virus	3i	FJ407092	9433	06/02/2002	Human	Homo sapiens	India	genomic RNA	
J	Hepatitis C virus	1b	D90208	9413	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
J	Hepatitis C virus	3i	KM587623	9491	06/27/2012	Human	Homo sapiens	USA	genomic RNA	
J33	Hepatitis C virus	1b	D14484	9427	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
JCH-1	Hepatitis C virus	2a	AB047640	9674	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JCH-2	Hepatitis C virus	2a	AB047641	9659	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JCH-3	Hepatitis C virus	2a	AB047642	9678	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JCH-4	Hepatitis C virus	2a	AB047643	9641	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JCH-5	Hepatitis C virus	2a	AB047644	9691	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JCH-6	Hepatitis C virus	2a	AB047645	9683	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JT'	Hepatitis C virus	1b	D11355	9434	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JT	Hepatitis C virus	1b	D11168	9436	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
K	Hepatitis C virus	4a	KM587624	9429	07/16/2012	Human	Homo sapiens	USA	genomic RNA	
Khaja1	Hepatitis C virus	1c	AY651061	9441	-N/A-	Unknown	-N/A-	India	genomic RNA	
KM181	Hepatitis C virus	6v	FJ435090	9461	-N/A-	Unknown	-N/A-	China	genomic RNA	
KM35	Hepatitis C virus	6_JX183549	JX183549	9448	-N/A-	Human	Homo sapiens	China	genomic RNA	
km98	Hepatitis C virus	6_JX183557	KM252792	9401	-N/A-	Human	Homo sapiens	China	genomic RNA	
L	Hepatitis C virus	4d	KM587625	9524	07/18/2012	Human	Homo sapiens	USA	genomic RNA	
L132	Hepatitis C virus	-N/A-	KM252793	9424	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L176	Hepatitis C virus	-N/A-	KM252794	9393	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L23	Hepatitis C virus	-N/A-	KM252789	9432	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L250	Hepatitis C virus	-N/A-	KM252795	9418	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L310	Hepatitis C virus	-N/A-	KM252796	9414	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L344	Hepatitis C virus	-N/A-	KM252797	9407	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L347	Hepatitis C virus	-N/A-	KM252790	9435	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L349	Hepatitis C virus	6_JX183554	JX183554	9423	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L350	Hepatitis C virus	-N/A-	KM252798	9422	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L373	Hepatitis C virus	-N/A-	KM252799	9428	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L390	Hepatitis C virus	-N/A-	KM252800	9418	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
L394	Hepatitis C virus	-N/A-	KM252791	9434	-N/A-	Human	Homo sapiens	Laos	genomic RNA	
Lex	Hepatitis C virus	1b	JN120912	9344	2003	Human	Homo sapiens	France	genomic RNA	
LTD1-2	Hepatitis C virus	1a	AF511948	9424	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
LTD3-2	Hepatitis C virus	1a	AF511949	9426	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
LTD6-2	Hepatitis C virus	1a	AF511950	9395	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
M	Hepatitis C virus	5a	KM587626	9405	07/26/2012	Human	Homo sapiens	USA	genomic RNA	
M1LE	Hepatitis C virus	1b	AB080299	9587	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MKC1A	Hepatitis C virus	1b	D45172	9431	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MRS117	Hepatitis C virus	2_KC197237	KC197237	9415	2001	Human	Homo sapiens	France	genomic RNA	
MRS129	Hepatitis C virus	2b	KC197226	9556	2001	Human	Homo sapiens	France	genomic RNA	
MRS178	Hepatitis C virus	-N/A-	KC197231	9572	2001	Human	Homo sapiens	France	genomic RNA	
MRS37	Hepatitis C virus	-N/A-	KC197229	9593	1995	Human	Homo sapiens	France	genomic RNA	
MRS40	Hepatitis C virus	2t	KC197238	9616	1995	Human	Homo sapiens	France	genomic RNA	
MRS41	Hepatitis C virus	2_KC197236	KC197236	9415	1995	Human	Homo sapiens	France	genomic RNA	
MRS89	Hepatitis C virus	2l	KC197235	9358	1995	Human	Homo sapiens	France	genomic RNA	
NE145	Hepatitis C virus	3e	KJ470618	9458	-N/A-	Human	Homo sapiens	Nepal	genomic RNA	
NE274	Hepatitis C virus	3d	KJ470619	9458	-N/A-	Human	Homo sapiens	Nepal	genomic RNA	
NK46	Hepatitis C virus	6v	EU158186	9429	08/2004	Unknown	-N/A-	China	genomic RNA	
P	Hepatitis C virus	6e	KM587629	9414	07/19/2012	Human	Homo sapiens	USA	genomic RNA	
P026	Hepatitis C virus	4_FJ025854	FJ025854	9267	-N/A-	Unknown	-N/A-	Portugal	genomic RNA	
P212	Hepatitis C virus	4w	FJ025855	9242	-N/A-	Unknown	-N/A-	Portugal	genomic RNA	
P245	Hepatitis C virus	4w	FJ025856	9271	-N/A-	Unknown	-N/A-	Portugal	genomic RNA	
patent Akutada	Hepatitis C virus	1b	DD462968	9413	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bartenschlager 3	Hepatitis C virus	1b	AX036262	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bartenschlager 4	Hepatitis C virus	1b	AX036252	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bartenschlager 5	Hepatitis C virus	1b	AX036253	8637	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bartenschlager 7	Hepatitis C virus	1b	AX036256	8649	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bartenschlager 9	Hepatitis C virus	1b	AX036258	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bartenschlager	Hepatitis C virus	1b	AX036260	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Blight 2	Hepatitis C virus	1b	BD409971	9605	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Blight	Hepatitis C virus	1b	BD409970	11062	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Brett 2	Hepatitis C virus	1b	DD448666	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Brett	Hepatitis C virus	1b	CQ819761	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Bukh	Hepatitis C virus	2a	AX057395	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Catalucci	Hepatitis C virus	1b	CS441528	9033	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Chayama cDNA	Hepatitis C virus	-N/A-	E10840	9444	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Chayama cDNA 2	Hepatitis C virus	3b	E10841	9444	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Chayama	Hepatitis C virus	3b	E10839	9444	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent de Francesco	Hepatitis C virus	1b	AX739971	9605	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Dubuisson	Hepatitis C virus	1a	DD070077	9622	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent EP1942191	Hepatitis C virus	2a	GM663244	9707	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Forns	Hepatitis C virus	1a	AX100563	9518	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Gardner	Hepatitis C virus	1a	DJ068451	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 2	Hepatitis C virus	1b	DD030814	8642	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 3	Hepatitis C virus	1b	DD030815	8643	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 4	Hepatitis C virus	1b	DD030816	8648	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 5	Hepatitis C virus	1b	DD030817	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 6	Hepatitis C virus	1b	DD030818	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 7	Hepatitis C virus	1b	DD030835	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George 8	Hepatitis C virus	1b	DD030836	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent George	Hepatitis C virus	1b	DD030813	8639	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Habosu 2 iRNA	Hepatitis C virus	1b	DD448588	9414	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Habosu 3 iRNA	Hepatitis C virus	1c	DD448590	9441	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Habosu 4 iRNA	Hepatitis C virus	1b	DD448587	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Habosu iRNA	Hepatitis C virus	1b	DD448589	9400	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Hall	Hepatitis C virus	1a	BD295096	9401	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent HC-J1 cDNA	Hepatitis C virus	1a	E08264	9502	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent HC-J1 gRNA	Hepatitis C virus	1a	E08263	9502	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Horita	Hepatitis C virus	1b	BD340639	9413	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Huang 3	Hepatitis C virus	1b	CS179663	8649	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Huang 4	Hepatitis C virus	1b	CS179664	8637	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent JP2007262067_A_1	Hepatitis C virus	1b	DJ341060	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent JP2007530049_A_4	Hepatitis C virus	1b	DJ439001	8649	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent JP2007530049_A_5	Hepatitis C virus	1b	DJ439002	8637	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent JP2008516610_A_9	Hepatitis C virus	1a	DL479449	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kaneko	Hepatitis C virus	1b	E04420	9370	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Kato 2	Hepatitis C virus	1b	DD452408	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kato	Hepatitis C virus	1b	DD495793	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 2	Hepatitis C virus	1b	AX472292	8642	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 3	Hepatitis C virus	1b	AX472294	8643	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 4	Hepatitis C virus	1b	AX472295	8648	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 5	Hepatitis C virus	1b	AX472296	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 6	Hepatitis C virus	1b	AX472297	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 7	Hepatitis C virus	1b	AX472314	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj 8	Hepatitis C virus	1b	AX472315	8638	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kukolj	Hepatitis C virus	1b	AX472291	8639	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Kurono	Hepatitis C virus	1b	E05027	9402	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Liang 2	Hepatitis C virus	1a	CS541301	9646	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Liang 3	Hepatitis C virus	2a	CS541302	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Liang 4	Hepatitis C virus	2a	CS541303	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Liang	Hepatitis C virus	1b	CS541286	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Matsuura	Hepatitis C virus	1b	DD290474	9548	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Nam	Hepatitis C virus	2a	AX057317	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Nishihara	Hepatitis C virus	1b	E07579	9391	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Okamoto	Hepatitis C virus	1c	E08443	9487	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Okayama cDNA	Hepatitis C virus	1b	E10035	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Rice1	Hepatitis C virus	1b	DJ055041	11062	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Rice2	Hepatitis C virus	1b	DJ055042	9605	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Robert	Hepatitis C virus	1a	E66593	9401	-N/A-	Unknown	-N/A-	-N/A-	genomic DNA	
patent Seki 2	Hepatitis C virus	1b	E06457	9471	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Seki	Hepatitis C virus	1b	E06261	9471	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Shimotoono 2	Hepatitis C virus	1b	E08399	9413	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Shimotoono 3	Hepatitis C virus	1b	E08461	9413	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Shimotoono 4	Hepatitis C virus	1b	E09631	9413	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Shimotoono	Hepatitis C virus	1b	E03766	9084	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Sudo	Hepatitis C virus	1b	DD047962	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Tanabe 2	Hepatitis C virus	2a	DJ030501	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Tanabe	Hepatitis C virus	2a	DJ030474	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Wakita 2	Hepatitis C virus	2a	DD091115	9674	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Wakita 3	Hepatitis C virus	2a	DD225882	9707	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
patent Wakita	Hepatitis C virus	2a	DD091114	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_11	Hepatitis C virus	1b	FB361092	8637	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_12	Hepatitis C virus	1a	FB361093	9646	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_13	Hepatitis C virus	1a	FB361094	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_14	Hepatitis C virus	1b	FB361095	9616	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_16	Hepatitis C virus	1b	FB361097	12567	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_17	Hepatitis C virus	1b	FB361098	10907	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_18	Hepatitis C virus	1b	FB361099	11691	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_19	Hepatitis C virus	1b	FB361100	11901	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_20	Hepatitis C virus	1b	FB361101	11901	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_21	Hepatitis C virus	1b	FB361102	11901	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_22	Hepatitis C virus	1b	FB361103	12939	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_24	Hepatitis C virus	1b	FB361105	14117	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_25	Hepatitis C virus	1b	FB361106	11042	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_26	Hepatitis C virus	1b	FB361107	11043	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_27	Hepatitis C virus	1b	FB361108	11043	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2006110762_9	Hepatitis C virus	1b	FB361090	8649	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008004992_55	Hepatitis C virus	1a	GM741321	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_1	Hepatitis C virus	3a/2a	GM864899	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_11	Hepatitis C virus	3a/2a	GM864909	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_13	Hepatitis C virus	3a/2a	GM864911	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_15	Hepatitis C virus	3a/2a	GM864913	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_17	Hepatitis C virus	3a/2a	GM864915	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_19	Hepatitis C virus	3a/2a	GM864917	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_21	Hepatitis C virus	3a/2a	GM864919	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_3	Hepatitis C virus	3a/2a	GM864901	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_5	Hepatitis C virus	3a/2a	GM864903	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_7	Hepatitis C virus	3a/2a	GM864905	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125117_9	Hepatitis C virus	3a/2a	GM864907	9684	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_1	Hepatitis C virus	4a/2a	GM864803	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_10	Hepatitis C virus	4a/2a	GM864812	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_11	Hepatitis C virus	4a/2a	GM864813	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_12	Hepatitis C virus	4a/2a	GM864814	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_13	Hepatitis C virus	4a/2a	GM864815	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_14	Hepatitis C virus	4a/2a	GM864816	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_15	Hepatitis C virus	4a/2a	GM864817	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_16	Hepatitis C virus	4a/2a	GM864818	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_17	Hepatitis C virus	4a/2a	GM864819	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_2	Hepatitis C virus	4a/2a	GM864804	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_5	Hepatitis C virus	4a/2a	GM864807	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_7	Hepatitis C virus	4a/2a	GM864809	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_8	Hepatitis C virus	4a/2a	GM864810	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008125119_9	Hepatitis C virus	4a/2a	GM864811	9666	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008141651_1	Hepatitis C virus	5a/2a	GM889463	9669	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008141651_54	Hepatitis C virus	5a/2a	GM889516	9669	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008141651_55	Hepatitis C virus	5a/2a	GM889517	9669	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent WO2008141651_56	Hepatitis C virus	5a/2a	GM889518	9669	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Wychowski	Hepatitis C virus	1a	AX663428	9622	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Yanagi 2	Hepatitis C virus	2a/1a	AX057088	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Yanagi 3	Hepatitis C virus	2a/1a	AX057090	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Yanagi 4	Hepatitis C virus	2a/1a	AX057092	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Yanagi 5	Hepatitis C virus	2a/1a	AX057094	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patent Yanagi	Hepatitis C virus	2a	AX057086	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
patient 1: Hepatitis C virus, JK1-full	Hepatitis C virus	1b	X61596	9408	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
patient A	Hepatitis C virus	1a	KC155254	9277	08/22/2012	Unknown	-N/A-	Germany	genomic RNA	
Patient C	Hepatitis C virus	2b/1a	KM102762	9397	07/12/2012	Human	Homo sapiens	USA	genomic RNA	
Patient D	Hepatitis C virus	2b/1a	KM102763	9523	01/26/2012	Human	Homo sapiens	USA	genomic RNA	
Patient E	Hepatitis C virus	2b/1b	KM102764	9488	06/26/2012	Human	Homo sapiens	USA	genomic RNA	
Patient G	Hepatitis C virus	2b/1b	KM102766	9570	07/02/2012	Human	Homo sapiens	USA	genomic RNA	
Patient H	Hepatitis C virus	2b/1b	KM102767	9533	02/14/2012	Human	Homo sapiens	Puerto Rico	genomic RNA	
Patient J	Hepatitis C virus	2k/1b	KM102768	9400	12/05/2012	Human	Homo sapiens	Spain	genomic RNA	
Patient K	Hepatitis C virus	2k/1b	KM102769	9398	01/07/2013	Human	Homo sapiens	Netherlands	genomic RNA	
Patient L	Hepatitis C virus	2k/1b	KM102770	9565	01/09/2013	Human	Homo sapiens	Netherlands	genomic RNA	
PB65185	Hepatitis C virus	4k	EU392171	9281	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
PEA_1	Hepatitis C virus	1b	KT983617	9255	2015	Human	Homo sapiens; female	Russia	genomic RNA	
PK-1	Hepatitis C virus	3a	GU294484	9474	09/20/2008	Human	Homo sapiens	Pakistan	genomic RNA	
PS2	Hepatitis C virus	4d	EU392172	9299	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
PS3	Hepatitis C virus	4k	EU392173	9312	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
PS4	Hepatitis C virus	4f	EU392174	9298	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
PS6	Hepatitis C virus	4f	EU392175	9297	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
PTR1256	Hepatitis C virus	2c	KC197227	9443	2008	Human	Homo sapiens	France	genomic RNA	
PTR2795	Hepatitis C virus	2j	KC197233	9657	2009	Human	Homo sapiens	France	genomic RNA	
PTR3874	Hepatitis C virus	2k	KC197234	9447	2009	Human	Homo sapiens	France	genomic RNA	
PTR7904	Hepatitis C virus	2l	KC197240	9402	2008	Human	Homo sapiens	France	genomic RNA	
PTR9203	Hepatitis C virus	2_KC197239	KC197239	9448	2009	Human	Homo sapiens	France	genomic RNA	
PTR9415	Hepatitis C virus	-N/A-	KC197230	9448	2008	Human	Homo sapiens	France	genomic RNA	
Q	Hepatitis C virus	-N/A-	KM587630	9407	07/19/2012	Human	Homo sapiens	USA	genomic RNA	
QC07	Hepatitis C virus	3a	KJ470612	9462	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC08	Hepatitis C virus	3a	KJ470613	9458	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC09	Hepatitis C virus	3a	KJ470614	9465	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC10	Hepatitis C virus	3a	KJ470615	9464	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC103	Hepatitis C virus	1d	KJ439768	9451	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC105	Hepatitis C virus	3k	JF735122	9660	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC108	Hepatitis C virus	-N/A-	JF735127	9441	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC112	Hepatitis C virus	-N/A-	KM504112	9518	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
QC113	Hepatitis C virus	-N/A-	KJ439775	9411	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC114	Hepatitis C virus	2_JF735110	JF735110	9508	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC115	Hepatitis C virus	3_JF735124	JF735124	9583	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC120	Hepatitis C virus	6r	KM504113	9479	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
QC126	Hepatitis C virus	4v	JF735128	9528	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC127	Hepatitis C virus	-N/A-	JF735129	9426	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC132	Hepatitis C virus	-N/A-	JF735130	9430	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC139	Hepatitis C virus	4p	FJ462431	9475	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC147	Hepatitis C virus	-N/A-	JF735131	9426	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC150	Hepatitis C virus	-N/A-	KM504114	9449	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
QC152	Hepatitis C virus	-N/A-	KJ439776	9462	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
QC155	Hepatitis C virus	4t	FJ839869	9488	-N/A-	Human	Homo sapiens (African immigrant)	Canada	genomic RNA	
QC156	Hepatitis C virus	1h	KJ439771	9454	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
